Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2017-01-01,Mumbai,Renewable Energy,"Maxson Lewis, Darryl Dias","JITO Angel Network, LetsVenture",Series A,Magenta EV,Magenta is in the business of Enabling electric mobility & Making electricity clean,15000000.0
2019-01-01,Bengaluru,Finance,"Amit Jangir, Bo Li, Jianwei Chen, Kartik Jain, Pei-fu Hsieh, Sunil Kumar","MyAsia VC, Orios Venture Partners",Series D,Karbon Card,Karbon Card is a financial platform for Indian entrepreneurs.,1000000.0
2015-01-01,Bengaluru,AI company,"Jo Aggarwal, Ramakant Vempati","W Health Ventures, Pi Ventures",Series A,Wysa,Wysa is an AI conversational agent that has been shown to help improve mental health,5000000.0
2017-01-01,Chennai,SpaceTech,"Byju Raveendran, Divya Gokulnath",Elevation Capital,Series A,Agnikul,"Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.",11000000.0
2019-01-01,New Delhi,Finance,Kundan Shahi,9Unicorns,Seed,LegalPay,A trusted financial partner for advocates and corporate.,3000000.0
2020-01-01,Bengaluru,SaaS startup,Divyanshu Singh,Inflection Point Ventures,Series G,Glamplus,India's #1 SaaS based Salon experience Software,200000.0
2017-01-01,Gurugram,EdTech,Kshama Fernandes,"GSV, Multiply Ventures",Seed,Tekie,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.",1500000.0
2007-01-01,Chennai,Finance,Raja Vaidyanathan,"WorldBusiness Capital, Northern Arc",Series E,Asirvad Microfinance,Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.,15000000.0
2017-01-01,Bengaluru,Finance,Varun Mayya,"Tanglin Ventures, Better Capital, Whiteboard Capital",Series I,Avalon Labs,"Avalon Labs incubates, invests, partners with and spearheads technology companies that are on the cutting edge.",3000000.0
2016-01-01,Bengaluru,Matrimony,"Rahul Namdev, Pawan Gupta","Y Combinator, Rehan A Khan",Series A,Betterhalf.ai,India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages,3000000.0
